STATION,NAME,DATE,AWND,AWND_Change,EVAP,MNPN,MXPN,PGTM,PRCP,PRCP_Change,PSUN,SN51,SN52,SN52_Change,SNOW,SNOW_Change,SNWD,SNWD_Change,SX52,SX52_Change,TAVG,TMAX,TMAX_Change,TMIN,TMIN_Change,TSUN,WDF2,WDF2_Change,WDF5,WDF5_Change,WDMV,WESD,WSF2,WSF2_Change,WSF5,WSF5_Change,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT16,WT17,WT18,WT19,WT22
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/1,8.28,0.44,,,,,0,0.33,,,32,0,0,0.5,1,0,32,0,,26,9,23,-1,,140,100,140,100,,,17,6.9,23,10.1,1,,,,,,,,,1,1,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",40910,8.72,0.44,,,,,0.33,0.33,,,32,0,0.5,0.5,1,0,32,0,,35,9,22,-1,,240,100,240,100,,,23.9,6.9,33.1,10.1,,,,,,,,,,,1,1,1,1,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/3,8.5,-0.22,,,,,0,-0.33,,,32,0,0.1,-0.4,2,1,32,0,,22,-13,0,-22,,260,20,260,20,,,17,-6.9,25.1,-8,,,,,,,1,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/4,7.61,-0.89,,,,,0,0,,,32,0,0,-0.1,1,-1,32,0,,11,-11,-1,-1,,320,60,320,60,,,17.9,0.9,23.9,-1.2,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/5,8.5,0.89,,,,,0,0,,,32,0,0,0,1,0,32,0,,24,13,4,5,,330,10,320,0,,,21.9,4,28,4.1,,,,,,,1,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/6,3.8,-4.7,,,,,0.06,0.06,,,32,0,1.8,1.8,1,0,32,0,,12,-12,-4,-8,,120,-210,310,-10,,,8.1,-13.8,12.1,-15.9,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/7,2.24,-1.56,,,,,0.17,0.11,,,32,0,2,0.2,3,2,32,0,,24,12,12,16,,330,210,340,30,,,6,-2.1,6.9,-5.2,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/8,7.83,5.59,,,,,0,-0.17,,,32,0,0,-2,4,1,32,0,,24,0,8,-4,,330,0,330,-10,,,16.1,10.1,21,14.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/9,4.25,-3.58,,,,,0,0,,,31,-1,0,0,4,0,31,-1,,19,-5,4,-4,,170,-160,160,-170,,,8.9,-7.2,15,-6,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/10,10.29,6.04,,,,,0.03,0.03,,,31,0,1.1,1.1,4,0,31,0,,31,12,6,2,,320,150,330,170,,,25.1,16.2,33.1,18.1,,1,,,,,,1,,,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/11,6.71,-3.58,,,,,0,-0.03,,,31,0,0,-1.1,4,0,31,0,,7,-24,-5,-11,,330,10,330,0,,,21,-4.1,25.1,-8,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/12,6.04,-0.67,,,,,0.32,0.32,,,31,0,3,3,4,0,31,0,,18,11,5,10,,90,-240,80,-250,,,14.1,-6.9,17.9,-7.2,1,,,,,,,,,1,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/13,5.59,-0.45,,,,,0.24,-0.08,,,31,0,1.3,-1.7,6,2,31,0,,36,18,18,13,,250,160,250,170,,,23,8.9,33.1,15.2,,,,,,,,,,,1,1,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/14,12.97,7.38,,,,,0.03,-0.21,,,31,0,0.1,-1.2,6,0,34,3,,28,-8,-5,-23,,250,0,240,-10,,,21.9,-1.1,31.1,-2,,,,,,,,,,1,,,1,1,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/15,9.4,-3.57,,,,,0,-0.03,,,31,0,0,-0.1,6,0,34,0,,4,-24,-9,-4,,330,80,330,90,,,19.9,-2,23.9,-7.2,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/16,4.92,-4.48,,,,,0,0,,,31,0,0,0,6,0,32,-2,,18,14,-11,-2,,180,-150,180,-150,,,12.1,-7.8,16.1,-7.8,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/17,4.7,-0.22,,,,,0.21,0.21,,,30,-1,2.1,2.1,6,0,31,-1,,26,8,18,29,,210,30,210,30,,,13,0.9,17.9,1.8,1,,,,,,,,,1,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/18,14.76,10.06,,,,,0.3,0.09,,,28,-2,1.3,-0.8,8,2,32,1,,34,8,4,-14,,250,40,250,40,,,32,19,45,27.1,,,,,,,,,,,1,1,1,1,
